latest          , latest
23              , 23.1.0.089.0929
23.1            , 23.1.0.089.0929
23.1.0          , 23.1.0.089.0929
23.1.0.089.0929 , 23.1.0.089.0929
22              , 22.4.0.342.1212
22.4            , 22.4.0.342.1212
22.4.0          , 22.4.0.342.1212
22.4.0.342.1212 , 22.4.0.342.1212
22.3            , 22.3.1.285.1825
22.3.1          , 22.3.1.285.1825
22.3.1.285.1825 , 22.3.1.285.1825
22.2            , 22.2.1.201.1451
22.2.1          , 22.2.1.201.1451
22.2.1.201.1451 , 22.2.1.201.1451
22.2.0          , 22.2.0.172.1718
22.2.0.172.1718 , 22.2.0.172.1718
22.1            , 22.1.1.131.0820
22.1.1          , 22.1.1.131.0820
22.1.1.131.0820 , 22.1.1.131.0820
22.1.0          , 22.1.0.90.1611
22.1.0.90.1611  , 22.1.0.90.1611
21              , 21.4.1.17.1458
21.4            , 21.4.1.17.1458
21.4.1          , 21.4.1.17.1458
21.4.0          , 21.4.0.348.1716
21.3            , 21.3.3.322.1724
21.3.3          , 21.3.3.322.1724
21.3.3.322.1724 , 21.3.3.322.1724
21.3.2          , 21.3.2.287.1503
21.3.2.287.1503 , 21.3.2.287.1503
21.3.1          , 21.3.1.281.1748
21.3.1.281.1748 , 21.3.1.281.1748
21.2            , 21.2.2.223.0914
21.2.2          , 21.2.2.223.0914
21.2.2.223.0914 , 21.2.2.223.0914
